# The following table is formatted as tab separated values. 
#GeneName	GeneId	TranscriptId	BioType	variants_impact_HIGH	variants_impact_LOW	variants_impact_MODERATE	variants_impact_MODIFIER	variants_effect_conservative_inframe_deletion	variants_effect_conservative_inframe_insertion	variants_effect_disruptive_inframe_deletion	variants_effect_disruptive_inframe_insertion	variants_effect_downstream_gene_variant	variants_effect_frameshift_variant	variants_effect_initiator_codon_variant	variants_effect_intron_variant	variants_effect_missense_variant	variants_effect_non_coding_transcript_exon_variant	variants_effect_non_coding_transcript_variant	variants_effect_splice_region_variant	variants_effect_start_lost	variants_effect_stop_gained	variants_effect_stop_lost	variants_effect_stop_retained_variant	variants_effect_synonymous_variant	variants_effect_upstream_gene_variant
fetB	gene-b0491	TRANSCRIPT_gene-b0491	protein_coding	0	1	0	64	0	0	0	0	21	0	0	0	0	0	0	0	0	0	0	0	1	43
ffh	gene-b2610	TRANSCRIPT_gene-b2610	protein_coding	0	22	0	41	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	22	25
ffs	gene-b0455	rna-b0455	lincRNA	0	0	0	73	0	0	0	0	19	0	0	0	0	0	0	0	0	0	0	0	0	54
fhlA	gene-b2731	TRANSCRIPT_gene-b2731	protein_coding	0	1	0	91	0	0	0	0	86	0	0	0	0	0	0	0	0	0	0	0	1	5
fhuA	gene-b0150	TRANSCRIPT_gene-b0150	protein_coding	0	17	2	252	0	0	0	0	124	0	0	0	2	0	0	0	0	0	0	0	17	128
fhuB	gene-b0153	TRANSCRIPT_gene-b0153	protein_coding	0	51	4	117	0	0	0	0	39	0	0	0	4	0	0	0	0	0	0	0	51	78
fhuC	gene-b0151	TRANSCRIPT_gene-b0151	protein_coding	0	15	1	215	0	0	0	0	109	0	0	0	1	0	0	0	0	0	0	0	15	106
fhuD	gene-b0152	TRANSCRIPT_gene-b0152	protein_coding	0	22	2	188	0	0	0	0	86	0	0	0	2	0	0	0	0	0	0	0	22	102
fhuE	gene-b1102	TRANSCRIPT_gene-b1102	protein_coding	0	5	3	94	0	0	0	0	44	0	0	0	3	0	0	0	0	0	0	0	5	50
fhuF	gene-b4367	TRANSCRIPT_gene-b4367	protein_coding	0	0	0	3	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	2
fic	gene-b3361	TRANSCRIPT_gene-b3361	protein_coding	0	9	2	35	0	0	0	0	17	0	0	0	2	0	0	0	0	0	0	0	9	18
fieF	gene-b3915	TRANSCRIPT_gene-b3915	protein_coding	0	4	0	87	0	0	0	0	64	0	0	0	0	0	0	0	0	0	0	0	4	23
fimA	gene-b4314	TRANSCRIPT_gene-b4314	protein_coding	0	0	0	9	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	7
fimB	gene-b4312	TRANSCRIPT_gene-b4312	protein_coding	0	0	0	9	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	3
fimC	gene-b4316	TRANSCRIPT_gene-b4316	protein_coding	0	0	1	9	0	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	7
fimD	gene-b4317	TRANSCRIPT_gene-b4317	protein_coding	0	0	1	9	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	8
fimE	gene-b4313	TRANSCRIPT_gene-b4313	protein_coding	0	0	0	9	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	3
fimF	gene-b4318	TRANSCRIPT_gene-b4318	protein_coding	0	0	0	4	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	3
fimG	gene-b4319	TRANSCRIPT_gene-b4319	protein_coding	0	0	0	4	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	2
fimH	gene-b4320	TRANSCRIPT_gene-b4320	protein_coding	0	0	1	3	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	2
fimI	gene-b4315	TRANSCRIPT_gene-b4315	protein_coding	0	0	0	10	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	7
fimR2	gene-b4838	rna-b4838	lincRNA	0	0	0	9	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	7
fimZ	gene-b0535	TRANSCRIPT_gene-b0535	protein_coding	0	3	1	47	0	0	0	0	27	0	0	0	1	0	0	0	0	0	0	0	3	20
fis	gene-b3261	TRANSCRIPT_gene-b3261	protein_coding	0	0	1	74	0	0	0	0	73	0	0	0	1	0	0	0	0	0	0	0	0	1
fiu	gene-b0805	TRANSCRIPT_gene-b0805	protein_coding	0	17	5	23	0	0	0	0	3	0	0	0	5	0	0	0	0	0	0	0	17	20
fixA	gene-b0041	TRANSCRIPT_gene-b0041	protein_coding	0	6	0	65	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0	0	6	45
fixB	gene-b0042	TRANSCRIPT_gene-b0042	protein_coding	0	1	0	65	0	0	0	0	19	0	0	0	0	0	0	0	0	0	0	0	1	46
fixC	gene-b0043	TRANSCRIPT_gene-b0043	protein_coding	0	0	2	54	0	0	0	0	17	0	0	0	2	0	0	0	0	0	0	0	0	37
fixX	gene-b0044	TRANSCRIPT_gene-b0044	protein_coding	0	0	0	50	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	0	0	33
fklB	gene-b4207	TRANSCRIPT_gene-b4207	protein_coding	0	15	1	179	0	0	0	0	108	0	0	0	1	0	0	0	0	0	0	0	15	71
fkpA	gene-b3347	TRANSCRIPT_gene-b3347	protein_coding	0	4	1	98	0	0	0	0	37	0	0	0	1	0	0	0	0	0	0	0	4	61
fkpB	gene-b0028	TRANSCRIPT_gene-b0028	protein_coding	0	0	0	179	0	0	0	0	129	0	0	0	0	0	0	0	0	0	0	0	0	50
fldA	gene-b0684	TRANSCRIPT_gene-b0684	protein_coding	0	1	0	79	0	0	0	0	33	0	0	0	0	0	0	0	0	0	0	0	1	46
fldB	gene-b2895	TRANSCRIPT_gene-b2895	protein_coding	0	0	0	116	0	0	0	0	48	0	0	0	0	0	0	0	0	0	0	0	0	68
flgA	gene-b1072	TRANSCRIPT_gene-b1072	protein_coding	0	0	0	18	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	16
flgB	gene-b1073	TRANSCRIPT_gene-b1073	protein_coding	0	2	1	18	0	0	0	0	16	0	0	0	1	0	0	0	0	0	0	0	2	2
flgC	gene-b1074	TRANSCRIPT_gene-b1074	protein_coding	0	5	0	16	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	5	5
flgD	gene-b1075	TRANSCRIPT_gene-b1075	protein_coding	0	0	2	19	0	0	0	0	9	0	0	0	2	0	0	0	0	0	0	0	0	10
flgE	gene-b1076	TRANSCRIPT_gene-b1076	protein_coding	0	5	1	15	0	0	0	0	3	0	0	0	1	0	0	0	0	0	0	0	5	12
flgF	gene-b1077	TRANSCRIPT_gene-b1077	protein_coding	0	0	0	19	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	16
flgG	gene-b1078	TRANSCRIPT_gene-b1078	protein_coding	0	0	0	42	0	0	0	0	26	0	0	0	0	0	0	0	0	0	0	0	0	16
flgH	gene-b1079	TRANSCRIPT_gene-b1079	protein_coding	0	3	0	43	0	0	0	0	27	0	0	0	0	0	0	0	0	0	0	0	3	16
flgI	gene-b1080	TRANSCRIPT_gene-b1080	protein_coding	0	0	0	46	0	0	0	0	29	0	0	0	0	0	0	0	0	0	0	0	0	17
flgJ	gene-b1081	TRANSCRIPT_gene-b1081	protein_coding	0	0	0	66	0	0	0	0	56	0	0	0	0	0	0	0	0	0	0	0	0	10
flgK	gene-b1082	TRANSCRIPT_gene-b1082	protein_coding	0	2	1	58	0	0	0	0	53	0	0	0	1	0	0	0	0	0	0	0	2	5
flgL	gene-b1083	TRANSCRIPT_gene-b1083	protein_coding	0	16	7	36	0	0	0	0	30	0	0	0	7	0	0	0	0	0	0	0	16	6
flgM	gene-b1071	TRANSCRIPT_gene-b1071	protein_coding	0	0	0	25	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	16
flgN	gene-b1070	TRANSCRIPT_gene-b1070	protein_coding	0	0	0	38	0	0	0	0	22	0	0	0	0	0	0	0	0	0	0	0	0	16
flgO	gene-b4826	rna-b4826	lincRNA	0	0	0	58	0	0	0	0	31	0	0	0	0	0	0	0	0	0	0	0	0	27
flhA	gene-b1879	TRANSCRIPT_gene-b1879	protein_coding	0	0	2	78	0	0	0	0	49	0	0	0	2	0	0	0	0	0	0	0	0	29
flhB	gene-b1880	TRANSCRIPT_gene-b1880	protein_coding	0	10	1	50	0	0	0	0	29	0	0	0	1	0	0	0	0	0	0	0	10	21
flhC	gene-b1891	TRANSCRIPT_gene-b1891	protein_coding	0	0	0	9	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	5
flhD	gene-b1892	TRANSCRIPT_gene-b1892	protein_coding	0	0	0	8	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	5
flhE	gene-b1878	TRANSCRIPT_gene-b1878	protein_coding	0	5	0	70	0	0	0	0	50	0	0	0	0	0	0	0	0	0	0	0	5	20
flk	gene-b2321	TRANSCRIPT_gene-b2321	protein_coding	0	0	0	37	0	0	0	0	34	0	0	0	0	0	0	0	0	0	0	0	0	3
flu	gene-b2000	TRANSCRIPT_gene-b2000	protein_coding	0	94	48	174	0	0	0	0	148	0	0	0	48	0	0	0	0	0	0	0	94	26
flxA	gene-b1566	TRANSCRIPT_gene-b1566	protein_coding	0	0	0	103	0	0	0	0	32	0	0	0	0	0	0	0	0	0	0	0	0	71
fmt	gene-b3288	TRANSCRIPT_gene-b3288	protein_coding	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
fnr	gene-b1334	TRANSCRIPT_gene-b1334	protein_coding	0	6	1	21	0	0	0	0	6	0	0	0	1	0	0	0	0	0	0	0	6	15
fnrS	gene-b4699	rna-b4699	lincRNA	0	0	0	8	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	2
focA	gene-b0904	TRANSCRIPT_gene-b0904	protein_coding	0	1	0	15	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	1	13
focB	gene-b2492	TRANSCRIPT_gene-b2492	protein_coding	0	5	2	87	0	0	0	0	41	0	0	0	2	0	0	0	0	0	0	0	5	46
folA	gene-b0048	TRANSCRIPT_gene-b0048	protein_coding	0	0	0	39	0	0	0	0	21	0	0	0	0	0	0	0	0	0	0	0	0	18
folB	gene-b3058	TRANSCRIPT_gene-b3058	protein_coding	0	0	0	17	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	3
folC	gene-b2315	TRANSCRIPT_gene-b2315	protein_coding	0	0	0	6	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	3
folD	gene-b0529	TRANSCRIPT_gene-b0529	protein_coding	0	0	0	80	0	0	0	0	61	0	0	0	0	0	0	0	0	0	0	0	0	19
folE	gene-b2153	TRANSCRIPT_gene-b2153	protein_coding	0	6	0	72	0	0	0	0	49	0	0	0	0	0	0	0	0	0	0	0	6	23
folK	gene-b0142	TRANSCRIPT_gene-b0142	protein_coding	0	25	7	225	0	0	0	0	166	0	0	0	7	0	0	0	0	0	0	0	25	59
folM	gene-b1606	TRANSCRIPT_gene-b1606	protein_coding	0	0	0	43	0	0	0	0	40	0	0	0	0	0	0	0	0	0	0	0	0	3
folP	gene-b3177	TRANSCRIPT_gene-b3177	protein_coding	0	2	0	41	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	2	25
folX	gene-b2303	TRANSCRIPT_gene-b2303	protein_coding	0	0	0	27	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	24
fpr	gene-b3924	TRANSCRIPT_gene-b3924	protein_coding	0	21	3	74	0	0	0	0	58	0	0	0	3	0	0	0	0	0	0	0	21	16
frc	gene-b2374	TRANSCRIPT_gene-b2374	protein_coding	0	0	0	26	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	20
frdA	gene-b4154	TRANSCRIPT_gene-b4154	protein_coding	0	14	0	84	0	0	0	0	68	0	0	0	0	0	0	0	0	0	0	0	14	16
frdB	gene-b4153	TRANSCRIPT_gene-b4153	protein_coding	0	2	0	122	0	0	0	0	92	0	0	0	0	0	0	0	0	0	0	0	2	30
frdC	gene-b4152	TRANSCRIPT_gene-b4152	protein_coding	0	2	0	120	0	0	0	0	98	0	0	0	0	0	0	0	0	0	0	0	2	22
frdD	gene-b4151	TRANSCRIPT_gene-b4151	protein_coding	0	6	0	115	0	0	0	0	94	0	0	0	0	0	0	0	0	0	0	0	6	21
fre	gene-b3844	TRANSCRIPT_gene-b3844	protein_coding	0	24	1	113	0	0	0	0	99	0	0	0	1	0	0	0	0	0	0	0	24	14
frlA	gene-b3370	TRANSCRIPT_gene-b3370	protein_coding	0	0	0	2	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0
frlB	gene-b3371	TRANSCRIPT_gene-b3371	protein_coding	0	0	0	4	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0
frlC	gene-b4474	TRANSCRIPT_gene-b4474	protein_coding	0	2	0	2	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	2	0
frlD	gene-b3374	TRANSCRIPT_gene-b3374	protein_coding	0	0	0	4	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	2
frlR	gene-b3375	TRANSCRIPT_gene-b3375	protein_coding	0	0	0	5	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	2
frmA	gene-b0356	TRANSCRIPT_gene-b0356	protein_coding	0	18	1	65	0	0	0	0	54	0	0	0	1	0	0	0	0	0	0	0	18	11
frmB	gene-b0355	TRANSCRIPT_gene-b0355	protein_coding	0	2	2	81	0	0	0	0	46	0	0	0	2	0	0	0	0	0	0	0	2	35
frmR	gene-b0357	TRANSCRIPT_gene-b0357	protein_coding	0	2	0	68	0	0	0	0	59	0	0	0	0	0	0	0	0	0	0	0	2	9
frr	gene-b0172	TRANSCRIPT_gene-b0172	protein_coding	0	0	0	25	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	16
frsA	gene-b0239	TRANSCRIPT_gene-b0239	protein_coding	0	15	1	123	0	0	0	0	42	0	0	0	1	0	0	0	0	0	0	0	15	81
fruA	gene-b2167	TRANSCRIPT_gene-b2167	protein_coding	0	20	2	116	0	0	0	0	97	0	0	0	2	0	0	0	0	0	0	0	20	19
fruB	gene-b2169	TRANSCRIPT_gene-b2169	protein_coding	0	0	2	96	0	0	0	0	81	0	0	0	2	0	0	0	0	0	0	0	0	15
fruK	gene-b2168	TRANSCRIPT_gene-b2168	protein_coding	0	5	0	108	0	0	0	0	94	0	0	0	0	0	0	0	0	0	0	0	5	14
frvA	gene-b3900	TRANSCRIPT_gene-b3900	protein_coding	0	4	0	140	0	0	0	0	19	0	0	0	0	0	0	0	0	0	0	0	4	121
frvB	gene-b3899	TRANSCRIPT_gene-b3899	protein_coding	0	0	0	145	0	0	0	0	21	0	0	0	0	0	0	0	0	0	0	0	0	124
frvR	gene-b3897	TRANSCRIPT_gene-b3897	protein_coding	0	15	3	73	0	0	0	0	3	0	0	0	3	0	0	0	0	0	0	0	15	70
frvX	gene-b3898	TRANSCRIPT_gene-b3898	protein_coding	0	0	0	120	0	0	0	0	21	0	0	0	0	0	0	0	0	0	0	0	0	99
frwB	gene-b3950	TRANSCRIPT_gene-b3950	protein_coding	0	7	0	172	0	0	0	0	75	0	0	0	0	0	0	0	0	0	0	0	7	97
frwC	gene-b3949	TRANSCRIPT_gene-b3949	protein_coding	0	7	0	165	0	0	0	0	73	0	0	0	0	0	0	0	0	0	0	0	7	92
frwD	gene-b3953	TRANSCRIPT_gene-b3953	protein_coding	0	4	0	115	0	0	0	0	48	0	0	0	0	0	0	0	0	0	0	0	4	67
fryA	gene-b2383	TRANSCRIPT_gene-b2383	protein_coding	0	0	3	78	0	0	0	0	71	0	0	0	3	0	0	0	0	0	0	0	0	7
fryB	gene-b2387	TRANSCRIPT_gene-b2387	protein_coding	0	0	0	59	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	51
fryC	gene-b2386	TRANSCRIPT_gene-b2386	protein_coding	0	2	0	59	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	2	50
fsaA	gene-b0825	TRANSCRIPT_gene-b0825	protein_coding	0	8	3	111	0	0	0	0	69	0	0	0	3	0	0	0	0	0	0	0	8	42
fsaB	gene-b3946	TRANSCRIPT_gene-b3946	protein_coding	0	13	2	113	0	0	0	0	12	0	0	0	2	0	0	0	0	0	0	0	13	101
fsr	gene-b0479	TRANSCRIPT_gene-b0479	protein_coding	0	1	1	39	0	0	0	0	36	0	0	0	1	0	0	0	0	0	0	0	1	3
ftnA	gene-b1905	TRANSCRIPT_gene-b1905	protein_coding	0	7	0	109	0	0	0	0	86	0	0	0	0	0	0	0	0	0	0	0	7	23
ftnB	gene-b1902	TRANSCRIPT_gene-b1902	protein_coding	0	0	0	93	0	0	0	0	93	0	0	0	0	0	0	0	0	0	0	0	0	0
ftp	gene-b2214	TRANSCRIPT_gene-b2214	protein_coding	0	0	0	63	0	0	0	0	62	0	0	0	0	0	0	0	0	0	0	0	0	1
ftsA	gene-b0094	TRANSCRIPT_gene-b0094	protein_coding	0	3	0	36	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	36
ftsB	gene-b2748	TRANSCRIPT_gene-b2748	protein_coding	0	0	0	82	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	72
ftsE	gene-b3463	TRANSCRIPT_gene-b3463	protein_coding	0	8	1	187	0	0	0	0	83	0	0	0	1	0	0	0	0	0	0	0	8	104
ftsH	gene-b3178	TRANSCRIPT_gene-b3178	protein_coding	0	11	0	62	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	11	47
ftsI	gene-b0084	TRANSCRIPT_gene-b0084	protein_coding	0	11	0	33	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	11	17
ftsK	gene-b0890	TRANSCRIPT_gene-b0890	protein_coding	0	17	4	24	0	0	0	1	2	0	0	0	3	0	0	0	0	0	0	0	17	22
ftsL	gene-b0083	TRANSCRIPT_gene-b0083	protein_coding	0	0	0	48	0	0	0	0	27	0	0	0	0	0	0	0	0	0	0	0	0	21
ftsN	gene-b3933	TRANSCRIPT_gene-b3933	protein_coding	0	1	0	24	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	1	18
ftsO	gene-b4810	rna-b4810	lincRNA	0	0	0	42	0	0	0	0	19	0	0	0	0	0	0	0	0	0	0	0	0	23
ftsP	gene-b3017	TRANSCRIPT_gene-b3017	protein_coding	0	0	0	65	0	0	0	0	56	0	0	0	0	0	0	0	0	0	0	0	0	9
ftsQ	gene-b0093	TRANSCRIPT_gene-b0093	protein_coding	0	5	1	33	0	0	0	0	3	0	0	0	1	0	0	0	0	0	0	0	5	30
ftsW	gene-b0089	TRANSCRIPT_gene-b0089	protein_coding	0	0	0	54	0	0	0	0	39	0	0	0	0	0	0	0	0	0	0	0	0	15
ftsX	gene-b3462	TRANSCRIPT_gene-b3462	protein_coding	0	28	0	179	0	0	0	0	87	0	0	0	0	0	0	0	0	0	0	0	28	92
ftsY	gene-b3464	TRANSCRIPT_gene-b3464	protein_coding	0	32	6	190	0	0	0	1	83	0	0	0	5	0	0	0	0	0	0	0	32	107
ftsZ	gene-b0095	TRANSCRIPT_gene-b0095	protein_coding	0	0	0	39	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	39
fucA	gene-b2800	TRANSCRIPT_gene-b2800	protein_coding	0	3	1	67	0	0	0	0	34	0	0	0	1	0	0	0	0	0	0	0	3	33
fucI	gene-b2802	TRANSCRIPT_gene-b2802	protein_coding	0	18	2	61	0	0	0	0	37	0	0	0	2	0	0	0	0	0	0	0	18	24
fucK	gene-b2803	TRANSCRIPT_gene-b2803	protein_coding	0	13	2	55	0	0	0	0	27	0	0	0	2	0	0	0	0	0	0	0	13	28
fucO	gene-b2799	TRANSCRIPT_gene-b2799	protein_coding	0	8	2	67	0	0	0	0	39	0	0	0	2	0	0	0	0	0	0	0	8	28
fucP	gene-b2801	TRANSCRIPT_gene-b2801	protein_coding	0	0	0	77	0	0	0	0	40	0	0	0	0	0	0	0	0	0	0	0	0	37
fucR	gene-b2805	TRANSCRIPT_gene-b2805	protein_coding	0	1	1	60	0	0	0	0	23	0	0	0	1	0	0	0	0	0	0	0	1	37
fucU	gene-b2804	TRANSCRIPT_gene-b2804	protein_coding	0	2	0	60	0	0	0	0	25	0	0	0	0	0	0	0	0	0	0	0	2	35
fumA	gene-b1612	TRANSCRIPT_gene-b1612	protein_coding	0	1	0	52	0	0	0	0	40	0	0	0	0	0	0	0	0	0	0	0	1	12
fumB	gene-b4122	TRANSCRIPT_gene-b4122	protein_coding	0	21	2	50	0	0	0	0	36	0	0	0	2	0	0	0	0	0	0	0	21	14
fumC	gene-b1611	TRANSCRIPT_gene-b1611	protein_coding	0	2	1	44	0	0	0	0	37	0	0	0	1	0	0	0	0	0	0	0	2	7
fumD	gene-b1675	TRANSCRIPT_gene-b1675	protein_coding	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4
fumE	gene-b2929	TRANSCRIPT_gene-b2929	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
fur	gene-b0683	TRANSCRIPT_gene-b0683	protein_coding	0	2	0	91	0	0	0	0	45	0	0	0	0	0	0	0	0	0	0	0	2	46
fusA	gene-b3340	TRANSCRIPT_gene-b3340	protein_coding	0	0	0	70	0	0	0	0	27	0	0	0	0	0	0	0	0	0	0	0	0	43
fxsA	gene-b4140	TRANSCRIPT_gene-b4140	protein_coding	0	7	0	88	0	0	0	0	53	0	0	0	0	0	0	0	0	0	0	0	7	35
gabD	gene-b2661	TRANSCRIPT_gene-b2661	protein_coding	0	41	9	184	0	0	0	0	91	0	0	0	9	0	0	0	0	0	0	0	41	93
gabP	gene-b2663	TRANSCRIPT_gene-b2663	protein_coding	0	45	1	205	0	0	0	0	44	0	0	0	1	0	0	0	0	0	0	0	45	161
gabT	gene-b2662	TRANSCRIPT_gene-b2662	protein_coding	0	21	5	235	0	0	0	0	91	0	0	0	5	0	0	0	0	0	0	0	21	144
gadA	gene-b3517	TRANSCRIPT_gene-b3517	protein_coding	0	0	0	35	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	33
gadB	gene-b1493	TRANSCRIPT_gene-b1493	protein_coding	0	5	0	65	0	0	0	0	49	0	0	0	0	0	0	0	0	0	0	0	5	16
gadC	gene-b1492	TRANSCRIPT_gene-b1492	protein_coding	0	2	0	70	0	0	0	0	52	0	0	0	0	0	0	0	0	0	0	0	2	18
gadE	gene-b3512	TRANSCRIPT_gene-b3512	protein_coding	0	0	0	4	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	3
gadF	gene-b4718	rna-b4718	lincRNA	0	0	0	3	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	2
gadW	gene-b3515	TRANSCRIPT_gene-b3515	protein_coding	0	0	0	7	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	6
gadX	gene-b3516	TRANSCRIPT_gene-b3516	protein_coding	0	0	0	22	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	21
gadY	gene-b4452	rna-b4452	lincRNA	0	0	0	11	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	1
galE	gene-b0759	TRANSCRIPT_gene-b0759	protein_coding	0	0	0	6	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	3
galF	gene-b2042	TRANSCRIPT_gene-b2042	protein_coding	0	45	0	531	0	0	0	0	306	0	0	0	0	0	0	0	0	0	0	0	45	225
galK	gene-b0757	TRANSCRIPT_gene-b0757	protein_coding	0	0	0	8	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	3
galM	gene-b0756	TRANSCRIPT_gene-b0756	protein_coding	0	1	0	10	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	1	2
galP	gene-b2943	TRANSCRIPT_gene-b2943	protein_coding	0	14	0	44	0	0	0	0	42	0	0	0	0	0	0	0	0	0	0	0	14	2
galR	gene-b2837	TRANSCRIPT_gene-b2837	protein_coding	0	6	1	33	0	0	0	0	27	0	0	0	1	0	0	0	0	0	0	0	6	6
galS	gene-b2151	TRANSCRIPT_gene-b2151	protein_coding	0	4	2	66	0	0	0	0	27	0	0	0	2	0	0	0	0	0	0	0	4	39
galT	gene-b0758	TRANSCRIPT_gene-b0758	protein_coding	0	0	1	5	0	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	3
galU	gene-b1236	TRANSCRIPT_gene-b1236	protein_coding	0	12	0	52	0	0	0	0	22	0	0	0	0	0	0	0	0	0	0	0	12	30
gapA	gene-b1779	TRANSCRIPT_gene-b1779	protein_coding	0	0	0	33	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	21
gapC	gapC	gene-b4493	pseudogene	0	0	0	92	0	0	0	0	1	0	0	0	0	0	9	0	0	0	0	0	0	82
garD	gene-b3128	TRANSCRIPT_gene-b3128	protein_coding	0	28	1	65	0	0	0	0	64	0	0	0	1	0	0	0	0	0	0	0	28	1
garK	gene-b3124	TRANSCRIPT_gene-b3124	protein_coding	0	0	0	68	0	0	0	0	39	0	0	0	0	0	0	0	0	0	0	0	0	29
garL	gene-b3126	TRANSCRIPT_gene-b3126	protein_coding	0	0	0	105	0	0	0	0	39	0	0	0	0	0	0	0	0	0	0	0	0	66
garP	gene-b3127	TRANSCRIPT_gene-b3127	protein_coding	0	1	0	108	0	0	0	0	38	0	0	0	0	0	0	0	0	0	0	0	1	70
garR	gene-b3125	TRANSCRIPT_gene-b3125	protein_coding	0	0	0	90	0	0	0	0	39	0	0	0	0	0	0	0	0	0	0	0	0	51
gatA	gene-b2094	TRANSCRIPT_gene-b2094	protein_coding	0	2	1	85	0	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	2	83
gatB	gene-b2093	TRANSCRIPT_gene-b2093	protein_coding	0	0	1	86	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	85
gatC	gatC	gene-b2092	pseudogene	0	0	0	98	0	0	0	0	83	0	0	0	0	0	1	0	0	0	0	0	0	14
gatD	gene-b2091	TRANSCRIPT_gene-b2091	protein_coding	0	0	0	106	0	0	0	0	43	0	0	0	0	0	0	0	0	0	0	0	0	63
gatR	gatR	gene-b4498	pseudogene	0	0	0	87	0	0	0	0	61	0	0	0	0	0	0	0	0	0	0	0	0	26
gatY	gene-b2096	TRANSCRIPT_gene-b2096	protein_coding	0	10	1	93	0	0	0	0	19	0	0	0	1	0	0	0	0	0	0	0	10	74
gatZ	gene-b2095	TRANSCRIPT_gene-b2095	protein_coding	0	9	5	89	0	0	0	0	5	0	0	0	5	0	0	0	0	0	0	0	9	84
gcd	gene-b0124	TRANSCRIPT_gene-b0124	protein_coding	0	27	1	32	0	0	0	0	18	0	0	0	1	0	0	0	0	0	0	0	27	14
gcl	gene-b0507	TRANSCRIPT_gene-b0507	protein_coding	0	1	0	14	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	1	3
gcvA	gene-b2808	TRANSCRIPT_gene-b2808	protein_coding	0	7	0	38	0	0	0	0	34	0	0	0	0	0	0	0	0	0	0	0	7	4
gcvB	gene-b4443	rna-b4443	lincRNA	0	0	0	43	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	41
gcvH	gene-b2904	TRANSCRIPT_gene-b2904	protein_coding	0	2	0	138	0	0	0	0	66	0	0	0	0	0	0	0	0	0	0	0	2	72
